Cancer	Gene	cnv	N.cells.with.cnv
BRCA	NUTM2A-AS1	Loss	10335
BRCA	ATAD1	Gain	610
BRCA	ATAD1	Loss	11190
BRCA	PTEN	Gain	610
BRCA	PTEN	Loss	11190
BRCA	RNLS	Gain	610
BRCA	RNLS	Loss	11190
BRCA	PCGF5	Gain	610
BRCA	PCGF5	Loss	11674
BRCA	HECTD2	Gain	610
BRCA	HECTD2	Loss	5816
BRCA	TNKS2	Gain	610
BRCA	TNKS2	Loss	11674
BRCA	BTAF1	Gain	610
BRCA	BTAF1	Loss	11674
BRCA	CPEB3	Gain	610
BRCA	CPEB3	Loss	11674
BRCA	MARCH5	Gain	610
BRCA	MARCH5	Loss	11674
BRCA	IDE	Gain	610
BRCA	IDE	Loss	11674
BRCA	EXOC6	Gain	610
BRCA	EXOC6	Loss	11674
BRCA	MYOF	Gain	610
BRCA	MYOF	Loss	5816
BRCA	FRA10AC1	Gain	610
BRCA	FRA10AC1	Loss	11674
BRCA	TBC1D12	Gain	610
BRCA	TBC1D12	Loss	11674
BRCA	PDLIM1	Gain	610
BRCA	PDLIM1	Loss	9199
BRCA	SORBS1	Gain	610
BRCA	SORBS1	Loss	11674
BRCA	ALDH18A1	Gain	610
BRCA	ALDH18A1	Loss	11425
BRCA	TCTN3	Gain	610
BRCA	TCTN3	Loss	11425
BRCA	ENTPD1-AS1	Gain	610
BRCA	ENTPD1-AS1	Loss	11674
BRCA	ZNF518A	Gain	610
BRCA	ZNF518A	Loss	11674
BRCA	BLNK	Gain	610
BRCA	BLNK	Loss	5816
BRCA	TM9SF3	Gain	610
BRCA	TM9SF3	Loss	11557
BRCA	LCOR	Gain	610
BRCA	LCOR	Loss	11557
BRCA	EXOSC1	Loss	10570
BRCA	MMS19	Gain	610
BRCA	MMS19	Loss	11557
BRCA	ZFYVE27	Gain	610
BRCA	ZFYVE27	Loss	11425
BRCA	R3HCC1L	Gain	610
BRCA	R3HCC1L	Loss	11557
BRCA	DNMBP	Gain	610
BRCA	DNMBP	Loss	8476
BRCA	ERLIN1	Gain	610
BRCA	ERLIN1	Loss	11425
BRCA	NDUFB8	Gain	610
BRCA	NDUFB8	Loss	10570
BRCA	SLF2	Gain	610
BRCA	SLF2	Loss	10702
BRCA	BTRC	Gain	610
BRCA	BTRC	Loss	10702
BRCA	FBXW4	Gain	610
BRCA	FBXW4	Loss	10183
BRCA	OGA	Gain	610
BRCA	OGA	Loss	10183
BRCA	ARMH3	Gain	610
BRCA	ARMH3	Loss	10183
BRCA	GBF1	Gain	903
BRCA	GBF1	Loss	9553
BRCA	SUFU	Gain	1287
BRCA	SUFU	Loss	9160
BRCA	TRIM8	Loss	9028
BRCA	WBP1L	Gain	1287
BRCA	WBP1L	Loss	7618
BRCA	CNNM2	Gain	1561
BRCA	CNNM2	Loss	7618
BRCA	NT5C2	Gain	1561
BRCA	NT5C2	Loss	7618
BRCA	PDCD11	Gain	1561
BRCA	PDCD11	Loss	5244
BRCA	SH3PXD2A	Gain	1561
BRCA	SH3PXD2A	Loss	5187
BRCA	STN1	Loss	4480
BRCA	SLK	Gain	1935
BRCA	SLK	Loss	3468
BRCA	CFAP43	Gain	1935
BRCA	CFAP43	Loss	783
BRCA	GSTO2	Gain	1935
BRCA	GSTO2	Loss	2351
BRCA	SMC3	Gain	1935
BRCA	SMC3	Loss	2351
BRCA	SHOC2	Gain	1935
BRCA	SHOC2	Loss	2351
BRCA	VTI1A	Gain	1935
BRCA	VTI1A	Loss	1806
BRCA	NHLRC2	Gain	1935
BRCA	NHLRC2	Loss	1806
BRCA	CCDC186	Gain	1935
BRCA	CCDC186	Loss	1806
BRCA	VWA2	Gain	1935
BRCA	VWA2	Loss	783
BRCA	ABLIM1	Gain	1935
BRCA	ABLIM1	Loss	1806
BRCA	FAM160B1	Gain	1935
BRCA	FAM160B1	Loss	1806
BRCA	GFRA1	Gain	2086
BRCA	GFRA1	Loss	783
BRCA	HSPA12A	Gain	2086
BRCA	HSPA12A	Loss	1806
BRCA	ENO4	Gain	2086
BRCA	ENO4	Loss	1806
BRCA	SHTN1	Gain	2086
BRCA	SHTN1	Loss	1806
BRCA	PDZD8	Gain	2086
BRCA	PDZD8	Loss	1806
BRCA	RAB11FIP2	Gain	2086
BRCA	RAB11FIP2	Loss	1806
BRCA	FAM204A	Gain	2086
BRCA	FAM204A	Loss	1806
BRCA	CACUL1	Gain	2086
BRCA	CACUL1	Loss	1806
BRCA	EIF3A	Gain	2086
BRCA	EIF3A	Loss	1806
BRCA	TIAL1	Gain	3945
BRCA	TIAL1	Loss	1806
BRCA	INPP5F	Gain	3945
BRCA	INPP5F	Loss	1806
BRCA	MCMBP	Gain	3945
BRCA	MCMBP	Loss	1806
BRCA	SEC23IP	Gain	3945
BRCA	SEC23IP	Loss	1995
BRCA	WDR11	Gain	3945
BRCA	WDR11	Loss	1995
BRCA	FGFR2	Gain	3945
BRCA	FGFR2	Loss	1995
BRCA	ATE1	Gain	3945
BRCA	ATE1	Loss	1995
BRCA	NSMCE4A	Gain	3945
BRCA	NSMCE4A	Loss	1995
BRCA	TACC2	Gain	3945
BRCA	TACC2	Loss	1995
BRCA	PLEKHA1	Gain	3945
BRCA	PLEKHA1	Loss	1995
BRCA	IKZF5	Loss	1995
BRCA	ACADSB	Gain	3945
BRCA	ACADSB	Loss	1995
BRCA	BUB3	Gain	2086
BRCA	BUB3	Loss	1995
BRCA	CHST15	Gain	2086
BRCA	CHST15	Loss	1995
BRCA	FAM53B	Gain	2086
BRCA	FAM53B	Loss	1995
BRCA	EEF1AKMT2	Gain	3945
BRCA	EEF1AKMT2	Loss	1995
BRCA	AL731577.2	Gain	3945
BRCA	AL731577.2	Loss	1995
BRCA	ZRANB1	Gain	3945
